data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_partida
2020-12-12,Palmeiras,Bahia,3.0,0.0,Vitória Mandante,3.0
2020-12-12,Internacional,Botafogo RJ,2.0,1.0,Vitória Mandante,3.0
2020-12-12,Bragantino,Fortaleza,2.0,1.0,Vitória Mandante,3.0
2020-12-12,Atl Paranaense,Atlético Mineiro,0.0,1.0,Vitória Visitante,1.0
2020-12-10,São Paulo,Botafogo RJ,4.0,0.0,Vitória Mandante,4.0
2020-12-07,Atl Goianiense,Goias,0.0,1.0,Vitória Visitante,1.0
2020-12-06,São Paulo,Sport Recife,1.0,0.0,Vitória Mandante,1.0
2020-12-06,Coritiba,Bragantino,0.0,0.0,Empate,0.0
2020-12-06,Atlético Mineiro,Internacional,2.0,2.0,Empate,4.0
2020-12-06,Grêmio,Vasco,4.0,0.0,Vitória Mandante,4.0
2020-12-05,Bahia,Ceará,0.0,2.0,Vitória Visitante,2.0
2020-12-05,Botafogo RJ,Flamengo,0.0,1.0,Vitória Visitante,1.0
2020-12-05,Santos,Palmeiras,2.0,2.0,Empate,4.0
2020-12-05,Fluminense,Atl Paranaense,3.0,1.0,Vitória Mandante,4.0
2020-12-03,Goias,São Paulo,0.0,3.0,Vitória Visitante,3.0
2020-12-03,Fortaleza,Corinthians,0.0,0.0,Empate,0.0
2020-11-30,Fluminense,Bragantino,0.0,0.0,Empate,0.0
2020-11-30,Vasco,Ceará,1.0,4.0,Vitória Visitante,5.0
2020-11-30,Grêmio,Goias,2.0,1.0,Vitória Mandante,3.0
2020-11-29,Atl Goianiense,Internacional,0.0,0.0,Empate,0.0
2020-11-28,Bahia,São Paulo,1.0,3.0,Vitória Visitante,4.0
2020-11-28,Santos,Sport Recife,4.0,2.0,Vitória Mandante,6.0
2020-11-28,Palmeiras,Atl Paranaense,3.0,0.0,Vitória Mandante,3.0
2020-11-26,Atlético Mineiro,Botafogo RJ,2.0,1.0,Vitória Mandante,3.0
2020-11-26,Coritiba,Corinthians,0.0,1.0,Vitória Visitante,1.0
2020-11-26,Fortaleza,Goias,1.0,1.0,Empate,2.0
2020-11-25,Ceará,São Paulo,1.0,1.0,Empate,2.0
2020-11-23,Sport Recife,Atl Goianiense,0.0,1.0,Vitória Visitante,1.0
2020-11-22,Corinthians,Grêmio,0.0,0.0,Empate,0.0
2020-11-22,Internacional,Fluminense,1.0,2.0,Vitória Visitante,3.0
2020-11-22,Botafogo RJ,Fortaleza,1.0,2.0,Vitória Visitante,3.0
2020-11-22,São Paulo,Vasco,1.0,1.0,Empate,2.0
2020-11-22,Ceará,Atlético Mineiro,2.0,2.0,Empate,4.0
2020-11-22,Goias,Palmeiras,1.0,0.0,Vitória Mandante,1.0
2020-11-21,Flamengo,Coritiba,3.0,1.0,Vitória Mandante,4.0
2020-11-21,Atl Paranaense,Santos,1.0,0.0,Vitória Mandante,1.0
2020-11-20,Bragantino,Bahia,4.0,0.0,Vitória Mandante,4.0
2020-11-19,Vasco,Fortaleza,0.0,0.0,Empate,0.0
2020-11-18,Atlético Mineiro,Atl Paranaense,0.0,2.0,Vitória Visitante,2.0
2020-11-16,Botafogo RJ,Bragantino,1.0,2.0,Vitória Visitante,3.0
2020-11-16,Coritiba,Bahia,1.0,2.0,Vitória Visitante,3.0
2020-11-15,Palmeiras,Fluminense,2.0,0.0,Vitória Mandante,2.0
2020-11-15,Flamengo,Atl Goianiense,1.0,1.0,Empate,2.0
2020-11-14,Grêmio,Ceará,4.0,2.0,Vitória Mandante,6.0
2020-11-14,Fortaleza,São Paulo,2.0,3.0,Vitória Visitante,5.0
2020-11-14,Corinthians,Atlético Mineiro,1.0,2.0,Vitória Visitante,3.0
2020-11-14,Goias,Atl Paranaense,0.0,1.0,Vitória Visitante,1.0
2020-11-14,Sport Recife,Vasco,0.0,2.0,Vitória Visitante,2.0
2020-11-14,Santos,Internacional,2.0,0.0,Vitória Mandante,2.0
2020-11-11,Bahia,Fortaleza,2.0,1.0,Vitória Mandante,3.0
2020-11-08,Atlético Mineiro,Flamengo,4.0,0.0,Vitória Mandante,4.0
2020-11-08,Atl Goianiense,Corinthians,1.0,1.0,Empate,2.0
2020-11-08,Internacional,Coritiba,2.0,2.0,Empate,4.0
2020-11-08,Vasco,Palmeiras,0.0,1.0,Vitória Visitante,1.0
2020-11-08,Fluminense,Grêmio,0.0,1.0,Vitória Visitante,1.0
2020-11-08,Bahia,Botafogo RJ,1.0,0.0,Vitória Mandante,1.0
2020-11-08,Bragantino,Santos,1.0,1.0,Empate,2.0
2020-11-08,Ceará,Sport Recife,0.0,0.0,Empate,0.0
2020-11-07,São Paulo,Goias,2.0,1.0,Vitória Mandante,3.0
2020-11-07,Atl Paranaense,Fortaleza,2.0,1.0,Vitória Mandante,3.0
2020-11-02,Palmeiras,Atlético Mineiro,3.0,0.0,Vitória Mandante,3.0
2020-11-02,Grêmio,Bragantino,2.0,1.0,Vitória Mandante,3.0
2020-11-01,Sport Recife,Atl Paranaense,1.0,0.0,Vitória Mandante,1.0
2020-11-01,Flamengo,São Paulo,1.0,4.0,Vitória Visitante,5.0
2020-11-01,Fortaleza,Fluminense,0.0,1.0,Vitória Visitante,1.0
2020-11-01,Santos,Bahia,3.0,1.0,Vitória Mandante,4.0
2020-11-01,Goias,Vasco,1.0,1.0,Empate,2.0
2020-10-31,Coritiba,Atl Goianiense,1.0,0.0,Vitória Mandante,1.0
2020-10-31,Corinthians,Internacional,1.0,0.0,Vitória Mandante,1.0
2020-10-31,Botafogo RJ,Ceará,2.0,2.0,Empate,4.0
2020-10-25,Internacional,Flamengo,2.0,2.0,Empate,4.0
2020-10-25,Atl Paranaense,Grêmio,1.0,2.0,Vitória Visitante,3.0
2020-10-25,Fluminense,Santos,3.0,1.0,Vitória Mandante,4.0
2020-10-25,Atl Goianiense,Palmeiras,0.0,3.0,Vitória Visitante,3.0
2020-10-25,Atlético Mineiro,Sport Recife,0.0,0.0,Empate,0.0
2020-10-24,Ceará,Coritiba,2.0,1.0,Vitória Mandante,3.0
