data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante
14/04/18,Sevilla,Villarreal,2,2,Empate,0,1,A,18,7,4,4,10,2,11,23,5,3,1,1
15/04/18,Atlético Madrid,Levante,3,0,Vitória Mandante,1,0,H,13,11,5,3,8,3,9,13,2,1,0,0
15/04/18,Eibar,Alavés,0,1,Vitória Visitante,0,1,A,21,2,4,1,12,1,11,18,2,1,0,0
15/04/18,Getafe,Espanol,1,0,Vitória Mandante,0,0,D,13,5,4,0,4,3,19,13,6,2,1,0
15/04/18,Malaga,Real Madrid,1,2,Vitória Visitante,0,1,A,13,16,3,6,4,7,12,9,4,0,0,0
17/04/18,Celta Vigo,Barcelona,2,2,Empate,1,1,D,18,14,8,6,6,4,9,7,3,0,0,1
17/04/18,La Coruna,Sevilla,0,0,Empate,0,0,D,22,24,6,7,7,9,8,8,0,2,0,0
17/04/18,Villarreal,Leganes,2,1,Vitória Mandante,1,0,H,17,6,6,1,10,4,14,14,1,1,0,0
18/04/18,Espanol,Eibar,0,1,Vitória Visitante,0,1,A,10,5,4,1,3,6,17,17,3,2,0,0
18/04/18,Real Madrid,Athletic Club,1,1,Empate,0,1,A,29,6,10,2,16,2,6,19,2,4,0,0
18/04/18,Valencia,Getafe,1,2,Vitória Visitante,0,1,A,10,8,3,3,7,5,10,14,1,7,1,0
19/04/18,Alavés,Girona,1,2,Vitória Visitante,0,0,D,11,14,5,5,3,6,15,12,4,4,0,0
19/04/18,Betis,Las Palmas,1,0,Vitória Mandante,0,0,D,17,1,8,0,6,3,18,17,3,5,0,1
19/04/18,Levante,Malaga,1,0,Vitória Mandante,0,0,D,11,10,2,2,4,3,9,17,1,1,0,0
19/04/18,Real Sociedad,Atlético Madrid,3,0,Vitória Mandante,1,0,H,12,9,4,2,6,6,13,13,1,0,0,0
20/04/18,Leganes,La Coruna,0,0,Empate,0,0,D,13,12,0,3,9,4,12,13,0,2,0,0
21/04/18,Celta Vigo,Valencia,1,1,Empate,0,0,D,10,17,3,7,4,3,14,19,1,2,0,0
21/04/18,Eibar,Getafe,0,1,Vitória Visitante,0,1,A,12,7,2,4,8,3,15,16,4,1,0,0
22/04/18,Atlético Madrid,Betis,0,0,Empate,0,0,D,10,10,2,4,8,3,17,14,2,5,0,0
22/04/18,Girona,Espanol,0,2,Vitória Visitante,0,1,A,20,5,6,4,10,0,18,18,1,2,0,0
22/04/18,Las Palmas,Alavés,0,4,Vitória Visitante,0,0,D,12,10,1,7,3,3,14,19,2,2,0,0
22/04/18,Malaga,Real Sociedad,2,0,Vitória Mandante,2,0,H,4,14,3,2,5,3,16,0,4,1,0,0
23/04/18,Athletic Club,Levante,1,3,Vitória Visitante,1,2,A,18,11,5,7,2,9,13,14,3,3,0,0
27/04/18,Levante,Sevilla,2,1,Vitória Mandante,1,1,D,15,22,5,4,4,8,4,15,1,1,0,0
28/04/18,Espanol,Las Palmas,1,1,Empate,0,1,A,16,13,7,2,6,7,18,22,2,4,0,0
28/04/18,Real Madrid,Leganes,2,1,Vitória Mandante,2,0,H,12,16,5,6,3,2,16,15,0,1,0,1
28/04/18,Real Sociedad,Athletic Club,3,1,Vitória Mandante,2,0,H,17,9,4,3,3,7,16,16,3,6,1,0
28/04/18,Villarreal,Celta Vigo,4,1,Vitória Mandante,3,1,H,13,15,7,4,5,7,14,8,2,0,0,0
29/04/18,Alavés,Atlético Madrid,0,1,Vitória Visitante,0,0,D,7,14,3,6,3,4,14,12,4,6,0,1
29/04/18,Getafe,Girona,1,1,Empate,1,1,D,10,15,2,2,4,4,19,21,6,4,1,0
