,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
12,Valencia,2020-12-07,Visitante,E,0.0,0.0,Eibar,37.0,0.0,0,51.6,5.0,4.0,80.0,0.0,
13,Valencia,2020-12-12,Em casa,E,2.0,2.0,Athletic Club,41.0,4.0,0,68.2,10.0,1.0,10.0,100.0,
14,Valencia,2020-12-19,Visitante,E,2.0,2.0,Barcelona,29.0,4.0,3,73.5,11.0,4.0,36.4,50.0,
15,Valencia,2020-12-22,Em casa,D,0.0,1.0,Sevilla,31.0,1.0,3,68.9,10.0,4.0,40.0,0.0,
16,Valencia,2020-12-30,Visitante,D,1.0,2.0,Granada,46.0,3.0,6,74.1,15.0,6.0,40.0,17.0,
17,Valencia,2021-01-04,Em casa,E,1.0,1.0,Cádiz,71.0,2.0,9,84.6,12.0,4.0,33.3,25.0,
18,Valencia,2021-01-10,Visitante,V,1.0,0.0,Valladolid,57.0,1.0,4,78.9,17.0,6.0,35.3,17.0,
19,Valencia,2021-01-21,Em casa,E,1.0,1.0,Osasuna,64.0,2.0,9,82.4,11.0,3.0,27.3,0.0,
20,Valencia,2021-01-24,Visitante,D,1.0,3.0,Atlético Madrid,51.0,4.0,7,80.7,8.0,4.0,50.0,25.0,
21,Valencia,2021-01-30,Em casa,V,1.0,0.0,Elche,46.0,1.0,4,77.7,13.0,2.0,15.4,50.0,
22,Valencia,2021-02-07,Visitante,E,1.0,1.0,Athletic Club,51.0,2.0,6,79.3,15.0,2.0,13.3,50.0,
23,Valencia,2021-02-14,Visitante,D,0.0,2.0,Real Madrid,39.0,2.0,1,84.6,4.0,1.0,25.0,0.0,
24,Valencia,2021-02-20,Em casa,V,2.0,0.0,Celta Vigo,57.0,2.0,6,82.0,9.0,3.0,33.3,67.0,
25,Valencia,2021-02-27,Visitante,D,0.0,3.0,Getafe,58.0,3.0,6,71.0,,,,,
26,Valencia,2021-03-05,Em casa,V,2.0,1.0,Villarreal,52.0,3.0,5,84.3,25.0,4.0,16.0,25.0,
1,Cádiz,2020-09-12,Em casa,D,0.0,2.0,Osasuna,53.0,2.0,6,67.7,12.0,3.0,25.0,0.0,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/ee7c297c.png
2,Cádiz,2020-09-20,Visitante,V,2.0,0.0,Huesca,30.0,2.0,1,63.2,6.0,4.0,66.7,50.0,
3,Cádiz,2020-09-27,Em casa,D,1.0,3.0,Sevilla,25.0,4.0,6,64.5,11.0,5.0,45.5,20.0,
4,Cádiz,2020-10-01,Visitante,V,1.0,0.0,Athletic Club,28.0,1.0,2,60.4,3.0,1.0,33.3,0.0,
5,Cádiz,2020-10-04,Em casa,E,1.0,1.0,Granada,42.0,2.0,2,72.6,14.0,3.0,21.4,33.0,
6,Cádiz,2020-10-17,Visitante,V,1.0,0.0,Real Madrid,26.0,1.0,11,54.5,14.0,4.0,28.6,25.0,
7,Cádiz,2020-10-25,Em casa,E,0.0,0.0,Villarreal,25.0,0.0,0,63.2,5.0,1.0,20.0,0.0,
8,Cádiz,2020-10-30,Visitante,V,2.0,0.0,Eibar,27.0,2.0,2,49.6,6.0,4.0,66.7,50.0,
9,Cádiz,2020-11-07,Visitante,D,0.0,4.0,Atlético Madrid,33.0,4.0,7,71.7,10.0,3.0,30.0,0.0,
10,Cádiz,2020-11-22,Em casa,D,0.0,1.0,Real Sociedad,33.0,1.0,1,59.9,,,,,
