,clube,data,local,resultado,gols_marcados,gols_sofridos,oponente,posse,gols_partida,escanteios,passes_certos_%,total_chutes,chutes_a_gol,chutes_ao_gol_%,gols_por_chute_ao_gol_%,escudo
20,Hoffenheim,2021-02-07,Em casa,D,1.0,3.0,Eint Frankfurt,47.0,4.0,4,80.6,8,1,12.5,100,
21,Hoffenheim,2021-02-13,Visitante,E,2.0,2.0,Dortmund,47.0,4.0,7,71.9,13,6,46.2,33,
22,Hoffenheim,2021-02-21,Em casa,V,4.0,0.0,Werder Bremen,52.0,4.0,6,80.6,13,6,46.2,67,
23,Hoffenheim,2021-02-28,Visitante,E,1.0,1.0,Union Berlin,52.0,2.0,4,79.5,14,2,14.3,0,
1,Werder Bremen,2020-09-19,Em casa,D,1.0,4.0,Hertha BSC,46.0,5.0,7,70.5,16,6,37.5,17,https://d2p3bygnnzw9w3.cloudfront.net/req/202103021/tlogo/fb/62add3bf.png
2,Werder Bremen,2020-09-26,Visitante,V,3.0,1.0,Schalke 04,35.0,4.0,3,55.7,17,5,29.4,40,
3,Werder Bremen,2020-10-03,Em casa,V,1.0,0.0,Arminia,38.0,1.0,2,70.0,8,2,25.0,50,
4,Werder Bremen,2020-10-17,Visitante,E,1.0,1.0,Freiburg,37.0,2.0,4,76.7,12,3,25.0,0,
5,Werder Bremen,2020-10-25,Em casa,E,1.0,1.0,Hoffenheim,50.0,2.0,1,78.4,5,2,40.0,50,
6,Werder Bremen,2020-10-31,Visitante,E,1.0,1.0,Eint Frankfurt,29.0,2.0,3,70.9,11,4,36.4,25,
7,Werder Bremen,2020-11-06,Em casa,E,1.0,1.0,Köln,66.0,2.0,1,87.6,18,3,16.7,0,
8,Werder Bremen,2020-11-21,Visitante,E,1.0,1.0,Bayern Munich,30.0,2.0,3,66.9,8,4,50.0,25,
9,Werder Bremen,2020-11-27,Visitante,D,3.0,5.0,Wolfsburg,39.0,8.0,5,78.6,5,4,80.0,50,
10,Werder Bremen,2020-12-06,Em casa,D,1.0,2.0,Stuttgart,53.0,3.0,2,75.8,13,3,23.1,33,
11,Werder Bremen,2020-12-12,Visitante,D,0.0,2.0,RB Leipzig,45.0,2.0,6,79.3,10,2,20.0,0,
12,Werder Bremen,2020-12-15,Em casa,D,1.0,2.0,Dortmund,46.0,3.0,4,79.9,6,3,50.0,33,
13,Werder Bremen,2020-12-19,Visitante,V,1.0,0.0,Mainz 05,56.0,1.0,5,84.8,15,7,46.7,14,
14,Werder Bremen,2021-01-02,Em casa,D,0.0,2.0,Union Berlin,57.0,2.0,6,75.1,11,2,18.2,0,
15,Werder Bremen,2021-01-09,Visitante,E,1.0,1.0,Leverkusen,27.0,2.0,1,61.2,2,1,50.0,100,
